Column Name,Data Type,Description
dte,date,Date
campaign_id,int,Unique identifier for the campaign
placement_id,int,Identifier for the ad placement within a campaign
dttm_utc,timestamp,Timestamp in UTC indicating when the event occurred
cnxn_type,string,"Type of internet connection used (e.g., Cable/DSL, Cellular)"
user_agent,string,User agent
dma,int,DMA code
country,string,Country code
os,string,OS
prizm_premier_code,int,Prizm Premier Code
device_type,string,Type of device
aip_device_brand,string,AIP only - device brand
aip_screen_width,string,AIP only - screeen width
aip_screen_height,string,AIP only - screeen height
aip_screen_ratio,string,AIP only - screen ratio
aip_isp,string,AIP only - ISP
aip_asn,string,AIP only - ASN
aip_osName,string,AIP only - OS name
aip_hardware,string,AIP only - hardware name
